,PC1,PC2,PC10,PC82,PC130,CLASS
GSM153254,-2.953459734,-0.055547864,-0.589337321,-0.821803331,-0.04245597,Normal
GSM153255,-13.47889025,-1.383651914,-0.967135817,0.276679937,0.058499322,Normal
GSM153256,-6.711929685,5.389055855,-2.304707993,0.716218397,-0.313278385,Normal
GSM153257,-13.51713499,1.045881228,1.067723665,-0.028685726,-0.08191536,Normal
GSM153258,0.882662868,5.233932752,-0.942812877,0.089507812,-0.403261162,Normal
GSM153259,2.847466963,5.075346638,0.688019371,0.301358501,0.103048078,Normal
GSM153260,4.543107525,5.80816602,0.54652,0.596975256,-0.148573221,Normal
GSM153261,0.564359745,3.177912076,1.158258188,-0.392416734,-0.347886167,Normal
GSM153262,-15.62786381,-1.535223272,3.231993051,-0.107956117,0.12063932,Normal
GSM153263,-4.675747904,4.059271458,2.419742494,0.557927724,0.308657823,Normal
GSM153264,0.090031232,7.688445341,0.237017779,-0.224008135,-0.173338539,Normal
GSM153265,-12.99658907,-3.818427206,-2.938914949,-0.135215562,-0.049000325,Normal
GSM153266,-0.821622213,4.267420601,-2.370890089,0.050577461,-0.238603918,Normal
GSM153267,-2.583552217,3.467915399,-2.392570607,0.249774523,-0.165984961,Normal
GSM153268,-23.89079075,-10.44194065,0.355313202,-0.381684094,0.206209915,Normal
GSM153269,-6.237080219,2.337245485,-2.422435317,-0.678984618,-0.488158849,Normal
GSM153270,-1.327152498,2.983350218,-3.141380046,-0.365760915,0.114213961,Normal
GSM153271,-5.104863368,4.448004374,-0.160260128,0.449565,-0.549667904,Normal
GSM153272,-9.938062185,0.88312051,-0.877848914,0.188054253,0.153150886,Normal
GSM153273,1.665114196,2.560513699,1.984599196,0.518492627,-0.622312319,Normal
GSM153274,-4.221273529,0.86524972,-2.061349103,-0.152939598,0.464138753,Normal
GSM153275,-7.499323992,3.912150827,-4.100994765,0.246545901,0.39826029,Normal
GSM153276,-7.764127242,1.410207722,-0.525793844,-0.069831387,-0.044356246,Normal
GSM153277,-6.767638697,-0.194234016,-2.804894422,0.504815176,-0.900638564,Normal
GSM153278,-0.895376016,5.902099479,-3.533946663,0.172210728,0.062042751,Normal
GSM153279,-6.099394293,-1.349279018,-0.960821182,-0.134926293,0.381219477,Normal
GSM153280,-11.80097552,-4.561346798,-1.040826022,-0.028896606,-0.288874918,Normal
GSM153281,-16.26977081,-1.979588815,-0.836209237,-0.410457681,0.082192215,Normal
GSM153282,-15.26228066,-6.658167211,-0.789319685,0.002039685,0.197346806,Normal
GSM153283,-0.963472285,7.331798915,-1.179043411,0.292790914,-0.639485201,Normal
GSM153284,-8.570407982,1.243089473,-2.455620737,0.205554881,0.282444622,Normal
GSM153285,-17.20175407,-4.436190456,-0.77613114,0.043755804,0.124283886,Normal
GSM153286,-7.583730916,1.572408585,-1.192229051,0.250731848,-0.284676746,Normal
GSM153287,-22.39533935,-4.406455965,0.870312672,0.38547407,0.102820287,Normal
GSM153288,-10.08971311,0.335313588,-0.38291656,0.003869811,-0.043584157,Normal
GSM153289,-5.176293145,3.144426392,-2.268322494,0.576668754,-0.402814193,Normal
GSM153290,-11.10696266,-3.70597914,-0.499637266,1.077704017,0.201146202,Normal
GSM153291,-11.51113095,-0.430509351,-1.63417618,-0.150956809,-0.095524182,Normal
GSM153292,-15.43762209,-4.381289218,-1.916058994,0.396501702,-0.453804925,Normal
GSM153293,-7.161628084,6.263100878,-2.326901761,-0.163966318,0.473643807,Normal
GSM153294,1.479664781,3.067220836,2.101555868,-0.166084199,-0.359120848,Normal
GSM153295,-17.1830692,4.240993974,1.035312923,-0.164945789,0.02749583,Normal
GSM152906,15.54599527,-3.020883858,-3.232100719,-0.542050342,0.847035734,Tumor
GSM152907,3.989258834,-11.40419895,-1.15070708,0.057696068,0.016594927,Tumor
GSM152908,17.60795181,-5.917452479,-0.380433447,-1.267200997,-0.358290921,Tumor
GSM152909,14.93087256,-3.814337906,-2.086790741,0.72436622,0.438580615,Tumor
GSM152910,19.31280429,-6.046680614,2.283610661,0.03892561,0.300763397,Tumor
GSM152911,19.58765873,-6.705788352,-0.607283063,-0.118906007,0.444579714,Tumor
GSM152912,20.47807357,-8.50892091,0.510633842,-0.894459567,0.126470108,Tumor
GSM152913,14.21001864,-5.448469542,-1.894247504,1.158621372,-0.430372254,Tumor
GSM152914,18.87348894,-6.198730824,-0.248603689,-0.344879475,-0.864525163,Tumor
GSM152915,18.74079889,-6.508308005,-0.910031428,-0.076968272,0.055331165,Tumor
GSM152916,17.92648834,-5.889054814,-1.696076315,0.921827647,0.259784616,Tumor
GSM152917,17.67716365,-5.316707007,0.179415567,-0.127238153,0.649970427,Tumor
GSM152918,20.34491786,-5.355297172,1.296248625,-0.710369743,-0.355622871,Tumor
GSM152919,16.94532203,-3.538035743,-0.168919981,0.760463862,-0.192094039,Tumor
GSM152920,15.94550085,-3.60092039,1.181202058,0.810747546,-0.139054478,Tumor
GSM152921,16.68049946,-4.005212913,-0.067027092,-0.336869862,0.061568502,Tumor
GSM152922,18.13365711,-6.823403567,0.402656596,0.095938941,0.093246986,Tumor
GSM152923,17.12025643,-4.28729237,-2.187938534,0.417987362,-0.726301993,Tumor
GSM152924,16.50414616,-4.777973519,-1.806387807,0.386571402,-0.074084061,Tumor
GSM152925,15.27823782,-5.442637276,-2.088877552,1.180238059,0.053202072,Tumor
GSM152926,12.25874921,-4.232596445,-1.922360731,-0.910032428,0.513382997,Tumor
GSM152927,16.67328627,-4.209074136,-0.725558037,-0.431393211,-0.658258885,Tumor
GSM152928,13.30898919,-2.307984558,-1.858811959,-0.76719543,0.520784258,Tumor
GSM152929,16.23320436,-2.55579107,-1.333944841,-0.352457938,-0.51469049,Tumor
GSM152930,17.46746611,-3.940810761,-2.096015546,0.00277597,0.007028699,Tumor
GSM153054,3.288437206,3.634400179,1.562989853,0.411338112,-0.173445112,Tumor
GSM153055,-2.952705726,3.106335444,-0.081284174,-0.558137505,0.362592848,Tumor
GSM153056,-7.214351202,2.466934479,-0.831467853,-0.82745234,-0.260118968,Tumor
GSM153057,-2.352521128,-2.630942102,2.014126686,0.558193387,-0.277146373,Tumor
GSM153058,-0.670460882,-1.996336683,0.732930199,-0.170815594,0.081410734,Tumor
GSM153059,4.542767012,0.408318986,0.320043353,0.39250353,-0.101137119,Tumor
GSM153060,-0.572124209,-1.432151726,3.66233974,0.093098811,-0.19570776,Tumor
GSM153061,6.6573039,2.942132347,2.296488863,-0.015910047,0.082903529,Tumor
GSM153062,5.959639384,-2.630364624,2.088538456,0.563759742,-0.308914689,Tumor
GSM153063,-3.216208863,0.915029573,1.318117248,-0.330584404,-0.232846267,Tumor
GSM153064,2.761206788,6.270574777,-1.180217013,1.115653055,0.530779749,Tumor
GSM153065,9.298250977,1.623902495,2.307384795,0.354384286,-0.579556982,Tumor
GSM153066,11.9881031,1.873934978,3.265194237,0.192775023,-0.164249501,Tumor
GSM153067,-8.082034446,-0.241030341,1.486642565,-0.516275742,0.593004084,Tumor
GSM153068,3.151349989,1.238661694,1.110606378,-2.21452193,0.159953157,Tumor
GSM153069,-20.82950617,-5.294904303,-1.902019911,0.586111956,-0.494456339,Tumor
GSM153070,-0.459976641,3.408340953,-1.4810036,-0.866372158,-0.303412883,Tumor
GSM153071,-2.177125881,0.628093443,3.028662416,-0.066642102,-0.454687079,Tumor
GSM153072,4.10296686,2.48498517,3.445259092,1.279050827,0.5594142,Tumor
GSM153073,-1.400996534,4.084968107,1.196575645,0.596349744,-0.107689973,Tumor
GSM153074,-8.203095909,-0.502241596,-2.756447148,-0.343520991,0.487385279,Tumor
GSM153075,-3.035403055,0.939966875,-2.325889049,0.010982969,0.87725341,Tumor
GSM153076,-4.66375815,5.401212637,1.499183819,0.791379923,0.01431776,Tumor
GSM153077,0.834689006,6.154010611,0.303599811,-0.088057504,0.782059014,Tumor
GSM153078,2.058481498,4.259030547,0.113734683,0.436431086,0.464504644,Tumor
GSM153079,5.315670564,4.242760593,0.706673162,0.540851886,0.359858557,Tumor
GSM153080,-2.582684636,-0.42020214,3.68858245,-0.612272206,-0.108384958,Tumor
GSM153081,0.578226083,10.60148526,-1.605138347,0.536429724,0.02394622,Tumor
GSM153082,4.399551985,2.587253211,1.766131483,-0.870216214,-0.167171769,Tumor
GSM153083,8.005806423,5.589818279,0.598738774,0.374198179,0.289587521,Tumor
GSM153084,9.2287567,0.471466821,1.985287922,1.861322286,0.1189319,Tumor
GSM153085,4.766980475,1.552650592,-0.354313663,0.42586924,0.10790207,Tumor
GSM153086,8.866723335,3.120368821,1.643492603,0.570805016,0.253361119,Tumor
GSM153087,-5.887619736,-1.275773921,-0.635908045,-0.735668177,0.231362722,Tumor
GSM153088,-5.194115481,5.335796055,-1.329603105,-0.183839242,0.775325601,Tumor
GSM153089,-0.26488891,-4.319610677,2.146529439,0.871187952,-0.207372257,Tumor
GSM153090,-5.316569759,2.497988146,-0.654080013,-0.651845897,0.334724932,Tumor
GSM153091,6.67815299,3.416838708,-0.365500238,-0.340315662,-0.836642424,Tumor
GSM153092,1.892519165,2.569992943,-2.227823419,0.143502965,-0.038253086,Tumor
GSM153093,-10.01271306,0.340286379,-1.867816554,-0.632203284,0.304651151,Tumor
GSM153094,5.90829367,3.027287577,1.708446205,1.203031427,0.565498729,Tumor
GSM153095,2.544286967,5.569859553,4.966660944,-0.14691026,-0.161706471,Tumor
GSM153096,3.749862617,3.164801201,2.044748978,1.445382519,0.905597167,Tumor
GSM153097,6.883832486,2.642100337,2.00570522,-0.365751043,0.559803597,Tumor
GSM153098,0.439203404,3.464995398,-1.091690929,-0.262455668,0.414147553,Tumor
GSM153099,-5.921891035,2.2511077,0.127291589,-0.127565426,-0.559988107,Tumor
GSM153100,-1.41358213,0.543984991,0.758115143,-0.654224826,0.592118027,Tumor
GSM153101,2.507281895,1.247850982,1.8166831,-1.294661532,-0.01943144,Tumor
GSM153102,5.354163129,0.93229144,-0.034164338,-0.554398844,-0.245027008,Tumor
GSM153103,7.977333473,4.742403254,0.474061485,-1.906053894,0.120224793,Tumor
GSM153104,-9.711627898,-2.647041952,0.821328351,0.348055927,0.296142295,Tumor
GSM153105,21.51724497,1.808591262,-0.548395302,-0.377608062,0.029465061,Tumor
GSM153106,3.586107432,2.57919418,-1.049821789,0.071944921,-0.211958157,Tumor
GSM153107,2.912134451,2.837989285,0.308676934,0.971016582,-0.043917874,Tumor
GSM153108,0.099955817,3.718780768,-2.420967938,-1.357012683,-0.069343508,Tumor
GSM153109,10.62332421,1.93973818,0.842157833,0.401372005,-0.453356985,Tumor
GSM153110,5.489500019,5.292239917,1.03536514,-0.306415745,-0.388409265,Tumor
GSM153111,7.246505556,3.59985617,0.953268668,-0.456432013,-0.025388667,Tumor
GSM153112,1.386560246,3.5846807,-0.853599177,-1.677588089,-0.537930148,Tumor
GSM153113,8.828155633,-0.144148858,3.303279039,0.396793881,-0.107949874,Tumor
GSM153114,-10.870076,-3.828479697,-0.609810384,0.840860728,-0.101269113,Tumor
GSM187532,16.85743576,-5.186607869,-2.491977111,-1.107927783,0.024208612,Tumor
GSM187533,20.32470851,-5.842571863,-1.292168064,0.531240696,0.06332275,Tumor
GSM187534,14.21487167,-2.242039338,1.140639238,0.130787121,0.095164037,Tumor
GSM187535,8.650767532,-0.639199158,-2.159503078,0.808994613,0.290837979,Tumor
